question_text,source,extracted_timestamp,features,text_length,word_count,subject,topic,difficulty,exam_type,year,augmented_timestamp
What are the fundamental rights enshrined in the Indian Constitution? Explain each in brief.,upsc_cse_mains,2025-12-01T14:46:13.372736,"{'text_length': 92, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(5.642857142857143), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.2242857142857143), 'technical_terms': 0.21428571428571427, 'abstract_concepts': 0.0}}",92,14,Polity,Fundamental Rights,Hard,UPSC,2023,
What are the fundamental rights enshrined in the Indian Constitution? Explain each in brief. (Variant 1),augmented,2025-12-01T14:46:13.373218,"{'text_length': 104, 'word_count': 16, 'sentence_count': 3, 'avg_word_length': np.float64(5.5625), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.18958333333333335), 'technical_terms': 0.1875, 'abstract_concepts': 0.0}}",104,16,Polity,Fundamental Rights,Hard,UPSC,2023,
What are the fundamental rights enshrined in the Indian Constitution? Explain each in brief. (Variant 2),augmented,2025-12-01T14:46:13.373545,"{'text_length': 104, 'word_count': 16, 'sentence_count': 3, 'avg_word_length': np.float64(5.5625), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.18958333333333335), 'technical_terms': 0.1875, 'abstract_concepts': 0.0}}",104,16,Polity,Fundamental Rights,Hard,UPSC,2023,
Discuss the role of the Election Commission in ensuring free and fair elections in India.,upsc_cse_mains,2025-12-01T14:46:13.373728,"{'text_length': 89, 'word_count': 15, 'sentence_count': 1, 'avg_word_length': np.float64(5.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.36000000000000004), 'technical_terms': 0.13333333333333333, 'abstract_concepts': 0.0}}",89,15,Polity,Election Commission,Medium,UPSC,2023,
Discuss the role of the Election Commission in ensuring free and fair elections in India. (Variant 1),augmented,2025-12-01T14:46:13.373994,"{'text_length': 101, 'word_count': 17, 'sentence_count': 2, 'avg_word_length': np.float64(5.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.23529411764705882), 'technical_terms': 0.11764705882352941, 'abstract_concepts': 0.0}}",101,17,Polity,Election Commission,Medium,UPSC,2023,
Discuss the role of the Election Commission in ensuring free and fair elections in India. (Variant 2),augmented,2025-12-01T14:46:13.374244,"{'text_length': 101, 'word_count': 17, 'sentence_count': 2, 'avg_word_length': np.float64(5.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.23529411764705882), 'technical_terms': 0.11764705882352941, 'abstract_concepts': 0.0}}",101,17,Polity,Election Commission,Medium,UPSC,2023,
Explain the process of photosynthesis in plants.,upsc_cds,2025-12-01T14:46:13.374382,"{'text_length': 48, 'word_count': 7, 'sentence_count': 1, 'avg_word_length': np.float64(6.0), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.24571428571428572), 'technical_terms': 0.14285714285714285, 'abstract_concepts': 0.14285714285714285}}",48,7,Science,Biology,Medium,UPSC,2023,
Explain the process of photosynthesis in plants. (Variant 1),augmented,2025-12-01T14:46:13.374583,"{'text_length': 60, 'word_count': 9, 'sentence_count': 2, 'avg_word_length': np.float64(5.777777777777778), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.18666666666666665), 'technical_terms': 0.1111111111111111, 'abstract_concepts': 0.1111111111111111}}",60,9,Science,Biology,Medium,UPSC,2023,
describe the process of photosynthesis in plants. (Variant 1),augmented,2025-12-01T14:46:13.374583,"{'text_length': 60, 'word_count': 9, 'sentence_count': 2, 'avg_word_length': np.float64(5.777777777777778), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.18666666666666665), 'technical_terms': 0.1111111111111111, 'abstract_concepts': 0.1111111111111111}}",60,9,Science,Biology,Medium,UPSC,2023,2025-12-01T14:46:13.388985
Explain the process of photosynthesis in plants. (Variant 2),augmented,2025-12-01T14:46:13.374787,"{'text_length': 60, 'word_count': 9, 'sentence_count': 2, 'avg_word_length': np.float64(5.777777777777778), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.18666666666666665), 'technical_terms': 0.1111111111111111, 'abstract_concepts': 0.1111111111111111}}",60,9,Science,Biology,Medium,UPSC,2023,
